hotel_name,source_url,official_url,hotel_class,minprice,maxprice,address,lat,lon,number_of_room,number_of_floor,year_property_opened,most_recent_renovation
The Grand SaiGon Centre,https://www.tripadvisor.com/Hotel_Review-g293925-d20051675-Reviews-The_Grand_SaiGon_Centre-Ho_Chi_Minh_City.html,,,,,"151 Ben Van Don Block B District 4, Ho Chi Minh City Vietnam",10.76277,106.6989,,,,
Queen Central Hotel 2,https://www.tripadvisor.com/Hotel_Review-g293925-d19656187-Reviews-Queen_Central_Hotel_2-Ho_Chi_Minh_City.html,,,,,"10C Thai Van Lung Street, Ho Chi Minh City 700000 Vietnam",10.77974,106.70414,,,,
Holiday Republic Saigon Airport,https://www.tripadvisor.com/Hotel_Review-g293925-d21198998-Reviews-Holiday_Republic_Saigon_Airport-Ho_Chi_Minh_City.html,,,,,"18E Cong Hoa, Ho Chi Minh City Vietnam",10.801842,106.654976,,,,
Dao Hung Hotel Saigon,https://www.tripadvisor.com/Hotel_Review-g293925-d4107304-Reviews-Dao_Hung_Hotel_Saigon-Ho_Chi_Minh_City.html,,,,,"40 Binh Gia, Ward 13 Tan Son Nhat International Airport, Ho Chi Minh City 70000 Vietnam",10.811048,106.71249,,,,
OYO 1079 Lan Thai Ngoc Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d21135711-Reviews-OYO_1079_Lan_Thai_Ngoc_Hotel-Ho_Chi_Minh_City.html,,,,,"So 29 Duong 2, KDC Cong Ich Quan 4, Phuong Phu My, Quan 7, Ho Chi Minh City 700000 Vietnam",null,null,,,,
Sharon Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d11873700-Reviews-Sharon_Hotel-Ho_Chi_Minh_City.html,,,,,"4, C1 Street Ward 13, Tan Binh District, Ho Chi Minh City 70000 Vietnam",10.80362,106.64588,,,,
Specious Studio at SG Center,https://www.tripadvisor.com/Hotel_Review-g293925-d17650157-Reviews-Specious_Studio_at_SG_Center-Ho_Chi_Minh_City.html,,,,,"17 Thach Thi Thanh, Ho Chi Minh City Vietnam",10.79001,106.69321,,,,
Scandinavian Apartment With Balcony in Bui Vien,https://www.tripadvisor.com/Hotel_Review-g293925-d21302172-Reviews-Scandinavian_Apartment_With_Balcony_in_Bui_Vien-Ho_Chi_Minh_City.html,,,,,"6 Bui Vien, Quan 1, Ho Chi Minh City Vietnam",10.76802,106.695,,,,
Happyhomes Hotel & Apartment,https://www.tripadvisor.com/Hotel_Review-g293925-d19656177-Reviews-Happyhomes_Hotel_Apartment-Ho_Chi_Minh_City.html,,,,,"102/42 Cong Quynh Street, D1, Ho Chi Minh City 700000 Vietnam",10.76491,106.69095,,,,
Casita Apartment,https://www.tripadvisor.com/Hotel_Review-g293925-d21302102-Reviews-Casita_Apartment-Ho_Chi_Minh_City.html,,,,,"142/38 Nguyen Thi Thap, Ho Chi Minh City Vietnam",10.738248,106.719666,,,,
